Tick,CDS,Vol,Beta,Rating,Type,Grade
ABT      UN  Equity ,75.684,14.256,0.44879,AA     *-,"Consumer, Non-cyclical",Investment
CL       UN  Equity ,46.505,16.027,0.42123,AA-,"Consumer, Non-cyclical",Investment
LLY      UN  Equity ,73.579,20.498,0.45919,AA-,"Consumer, Non-cyclical",Investment
MDT      UN  Equity ,82.403,26.858,0.75935,AA-,"Consumer, Non-cyclical",Investment
MMM      UN  Equity ,42.031,24.856,0.96174,AA-,Industrial,Investment
PG       UN  Equity ,54.089,13.139,0.42768,AA-,"Consumer, Non-cyclical",Investment
UPS      UN  Equity ,53.439,19.451,0.96255,AA-,Industrial,Investment
BRK/B    UN  Equity ,184.601,22.206,0.72382,AA+,Financial,Investment
GE       UN  Equity ,230.696,28.597,1.28457,AA+,Industrial,Investment
JNJ      UN  Equity ,43.664,14.674,0.45105,AAA,"Consumer, Non-cyclical",Investment
SHLD     UW  Equity ,1112.351,68.835,1.77943,B,"Consumer, Cyclical",Speculative
THC      UN  Equity ,757.848,62.387,1.54592,B,"Consumer, Non-cyclical",Speculative
AMD      UN  Equity ,655.903,52.817,1.73616,B+,Technology,Speculative
DF       UN  Equity ,713.251,37.951,0.97445,B+,"Consumer, Non-cyclical",Speculative
LEN      UN  Equity ,398.098,44.750,1.50187,B+,"Consumer, Cyclical",Speculative
S        UN  Equity ,999.667,73.608,0.95791,B+,Communications,Speculative
SVU      UN  Equity ,899.520,50.126,1.24491,B+,"Consumer, Non-cyclical",Speculative
AKS      UN  Equity ,890.604,68.832,2.40778,BB,Basic Materials,Speculative
ANR      UN  Equity ,364.618,75.385,2.63121,BB,Energy,Speculative
CTL      UN  Equity ,257.932,21.098,0.57351,BB,Communications,Speculative
EP       UN  Equity ,291.535,15.776,1.22167,BB,Energy,Speculative
GCI      UN  Equity ,384.102,49.683,1.72442,BB,Communications,Speculative
SEE      UN  Equity ,253.330,31.508,1.11790,BB,Industrial,Speculative
AES      UN  Equity ,406.021,27.925,1.32937,BB-,Utilities,Speculative
DHI      UN  Equity ,258.327,38.721,1.25819,BB-,"Consumer, Cyclical",Speculative
GT       UN  Equity ,632.293,49.181,2.08702,BB-,"Consumer, Cyclical",Speculative
HST      UN  Equity ,327.118,38.549,1.71952,BB-,Financial,Speculative
NRG      UN  Equity ,617.353,31.252,0.86620,BB-,Utilities,Speculative
PHM      UN  Equity ,507.099,59.460,1.80935,BB-,"Consumer, Cyclical",Speculative
WIN      UW  Equity ,444.806,22.462,0.68944,BB-,Communications,Speculative
BLL      UN  Equity ,183.657,22.972,0.82006,BB+,Industrial,Speculative
CHK      UN  Equity ,448.628,43.042,1.40642,BB+,Energy,Speculative
HOT      UN  Equity ,186.625,38.471,1.87922,BB+,"Consumer, Cyclical",Speculative
IPG      UN  Equity ,258.953,44.962,1.81356,BB+,Communications,Speculative
JBL      UN  Equity ,395.790,48.487,1.77166,BB+,Industrial,Speculative
JCP      UN  Equity ,280.763,35.179,1.42669,BB+,"Consumer, Cyclical",Speculative
LTD      UN  Equity ,210.650,32.014,1.21668,BB+,"Consumer, Cyclical",Speculative
OI       UN  Equity ,487.269,46.365,1.65592,BB+,Industrial,Speculative
RRD      UW  Equity ,703.137,35.733,1.43025,BB+,"Consumer, Non-cyclical",Speculative
STZ      UN  Equity ,258.380,28.043,0.94165,BB+,"Consumer, Non-cyclical",Speculative
TSO      UN  Equity ,329.804,49.258,1.67479,BB+,Energy,Speculative
SUN      UN  Equity ,346.965,31.506,1.17709,BB+    *-,Energy,Speculative
AEP      UN  Equity ,91.325,16.678,0.52085,BBB,Utilities,Investment
AIZ      UN  Equity ,219.146,31.241,0.80735,BBB,Financial,Investment
CAG      UN  Equity ,70.658,17.582,0.43322,BBB,"Consumer, Non-cyclical",Investment
CBS      UN  Equity ,119.906,42.609,1.58660,BBB,Communications,Investment
CI       UN  Equity ,122.746,30.668,1.09907,BBB,"Consumer, Non-cyclical",Investment
COF      UN  Equity ,142.762,36.890,1.31369,BBB,Financial,Investment
CSX      UN  Equity ,64.417,30.453,1.41684,BBB,Industrial,Investment
DOW      UN  Equity ,212.210,36.480,1.76431,BBB,Basic Materials,Investment
DRI      UN  Equity ,125.930,27.777,0.82708,BBB,"Consumer, Cyclical",Investment
EMN      UN  Equity ,110.504,36.978,1.50787,BBB,Basic Materials,Investment
ETR      UN  Equity ,249.969,16.960,0.62359,BBB,Utilities,Investment
EXC      UN  Equity ,151.695,16.043,0.58703,BBB,Utilities,Investment
FCX      UN  Equity ,204.677,49.050,1.99768,BBB,Basic Materials,Investment
FDX      UN  Equity ,116.636,27.952,1.10181,BBB,Industrial,Investment
GNW      UN  Equity ,694.706,65.139,1.99730,BBB,Financial,Investment
HCP      UN  Equity ,225.620,27.492,0.92416,BBB,Financial,Investment
HES      UN  Equity ,175.606,40.085,1.60822,BBB,Energy,Investment
HIG      UN  Equity ,338.760,50.425,1.88994,BBB,Financial,Investment
HRB      UN  Equity ,568.658,41.850,0.70795,BBB,"Consumer, Non-cyclical",Investment
HUM      UN  Equity ,142.689,28.914,0.76955,BBB,"Consumer, Non-cyclical",Investment
IGT      UN  Equity ,138.805,38.816,1.17943,BBB,"Consumer, Cyclical",Investment
INTU     UW  Equity ,72.703,25.598,0.93436,BBB,Technology,Investment
IP       UN  Equity ,158.490,34.371,1.57174,BBB,Basic Materials,Investment
KFT      UN  Equity ,67.101,15.123,0.43667,BBB,"Consumer, Non-cyclical",Investment
KR       UN  Equity ,82.994,20.064,0.45700,BBB,"Consumer, Non-cyclical",Investment
MAR      UN  Equity ,137.055,33.285,1.41596,BBB,"Consumer, Cyclical",Investment
MO       UN  Equity ,120.254,14.222,0.37752,BBB,"Consumer, Non-cyclical",Investment
MRO      UN  Equity ,151.719,37.073,1.32018,BBB,Energy,Investment
MSI      UN  Equity ,99.768,25.436,0.91594,BBB,Communications,Investment
MWV      UN  Equity ,141.308,31.291,1.27983,BBB,Basic Materials,Investment
NBL      UN  Equity ,149.854,37.777,1.17977,BBB,Energy,Investment
OKE      UN  Equity ,140.394,21.954,0.91030,BBB,Energy,Investment
PFG      UN  Equity ,249.474,41.722,1.60723,BBB,Financial,Investment
RSG      UN  Equity ,133.317,22.005,0.76720,BBB,Industrial,Investment
SLE      UN  Equity ,85.222,26.115,0.60678,BBB,"Consumer, Non-cyclical",Investment
SPLS     UW  Equity ,192.595,31.058,1.00811,BBB,"Consumer, Cyclical",Investment
SWY      UN  Equity ,128.922,26.621,0.59906,BBB,"Consumer, Non-cyclical",Investment
TEL      UN  Equity ,105.714,34.212,1.32282,BBB,Industrial,Investment
TWC      UN  Equity ,207.783,26.280,0.94693,BBB,Communications,Investment
TWX      UN  Equity ,84.246,26.905,1.15103,BBB,Communications,Investment
VLO      UN  Equity ,224.611,47.934,1.76956,BBB,Energy,Investment
WM       UN  Equity ,134.699,26.292,0.72074,BBB,Industrial,Investment
WPI      UN  Equity ,86.348,29.312,0.50828,BBB,"Consumer, Non-cyclical",Investment
MUR      UN  Equity ,144.168,38.924,1.61713,BBB    *-,Energy,Investment
AA       UN  Equity ,396.253,46.331,1.70282,BBB-,Basic Materials,Investment
APC      UN  Equity ,177.327,40.598,1.57422,BBB-,Energy,Investment
BBY      UN  Equity ,396.796,34.943,0.97460,BBB-,"Consumer, Cyclical",Investment
BEAM     UN  Equity ,69.501,24.702,1.04176,BBB-,"Consumer, Non-cyclical",Investment
BSX      UN  Equity ,121.867,42.120,0.96425,BBB-,"Consumer, Non-cyclical",Investment
CMS      UN  Equity ,206.467,20.518,0.68912,BBB-,Utilities,Investment
CVH      UN  Equity ,184.694,34.694,1.24145,BBB-,"Consumer, Non-cyclical",Investment
EIX      UN  Equity ,153.150,16.960,0.61869,BBB-,Utilities,Investment
FE       UN  Equity ,162.655,19.914,0.64100,BBB-,Utilities,Investment
HCN      UN  Equity ,256.387,21.637,0.81875,BBB-,Financial,Investment
LLL      UN  Equity ,199.069,26.178,1.02906,BBB-,Industrial,Investment
LUV      UN  Equity ,198.055,35.313,1.08030,BBB-,"Consumer, Cyclical",Investment
LXK      UN  Equity ,210.531,35.632,1.00505,BBB-,Technology,Investment
M        UN  Equity ,134.091,34.098,1.23720,BBB-,"Consumer, Cyclical",Investment
MAS      UN  Equity ,395.802,44.883,1.73429,BBB-,Industrial,Investment
MMC      UN  Equity ,64.083,23.333,0.80854,BBB-,Financial,Investment
NFX      UN  Equity ,147.078,45.172,1.66205,BBB-,Energy,Investment
NWL      UN  Equity ,134.444,33.108,1.28504,BBB-,"Consumer, Cyclical",Investment
PXD      UN  Equity ,200.472,45.224,1.70543,BBB-,Energy,Investment
RAI      UN  Equity ,186.285,18.685,0.42427,BBB-,"Consumer, Non-cyclical",Investment
TAP      UN  Equity ,85.049,20.488,0.75757,BBB-,"Consumer, Non-cyclical",Investment
TSN      UN  Equity ,151.538,25.164,0.71745,BBB-,"Consumer, Non-cyclical",Investment
TXT      UN  Equity ,232.339,39.653,1.94107,BBB-,Industrial,Investment
UNM      UN  Equity ,283.484,33.017,1.17497,BBB-,Financial,Investment
WHR      UN  Equity ,270.759,37.372,1.28920,BBB-,"Consumer, Cyclical",Investment
WY       UN  Equity ,168.276,31.335,1.40418,BBB-,Financial,Investment
WYN      UN  Equity ,185.006,31.532,1.62200,BBB-,"Consumer, Cyclical",Investment
XRX      UN  Equity ,270.216,36.550,1.39105,BBB-,Technology,Investment
YUM      UN  Equity ,82.712,23.596,0.80342,BBB-,"Consumer, Cyclical",Investment
EXPE     UW  Equity ,212.224,29.919,0.89507,BBB-   *-,Communications,Investment
CEG      UN  Equity ,158.710,26.941,0.74723,BBB-   *+,Utilities,Investment
WMB      UN  Equity ,165.090,30.571,1.39625,BBB-   *+,Energy,Investment
AON      UN  Equity ,80.698,21.343,0.74339,BBB+,Financial,Investment
AVB      UN  Equity ,130.360,26.627,0.97025,BBB+,Financial,Investment
AVP      UN  Equity ,194.528,33.610,0.96829,BBB+,"Consumer, Non-cyclical",Investment
AXP      UN  Equity ,115.854,27.881,1.18722,BBB+,Financial,Investment
CA       UW  Equity ,166.252,28.700,1.10415,BBB+,Technology,Investment
CAM      UN  Equity ,150.859,46.193,1.70161,BBB+,Energy,Investment
CCL      UN  Equity ,135.162,34.202,1.23871,BBB+,"Consumer, Cyclical",Investment
CMCSA    UW  Equity ,100.772,30.438,1.03177,BBB+,Communications,Investment
CNP      UN  Equity ,157.797,20.792,0.71213,BBB+,Utilities,Investment
CVS      UN  Equity ,61.853,22.908,0.69065,BBB+,"Consumer, Cyclical",Investment
DGX      UN  Equity ,97.018,24.481,0.64586,BBB+,"Consumer, Non-cyclical",Investment
DTE      UN  Equity ,151.266,18.811,0.64122,BBB+,Utilities,Investment
DVN      UN  Equity ,71.337,37.156,1.30775,BBB+,Energy,Investment
EQR      UN  Equity ,195.910,26.156,0.93256,BBB+,Financial,Investment
FMC      UN  Equity ,93.525,31.315,1.20018,BBB+,Basic Materials,Investment
GIS      UN  Equity ,43.041,16.624,0.25613,BBB+,"Consumer, Non-cyclical",Investment
GLW      UN  Equity ,121.595,38.533,1.18151,BBB+,Communications,Investment
HNZ      UN  Equity ,50.351,14.613,0.39827,BBB+,"Consumer, Non-cyclical",Investment
HPQ      UN  Equity ,155.921,36.653,1.32974,BBB+,Technology,Investment
HSP      UN  Equity ,174.425,41.502,0.43102,BBB+,"Consumer, Non-cyclical",Investment
JCI      UN  Equity ,166.973,42.428,1.51051,BBB+,"Consumer, Cyclical",Investment
K        UN  Equity ,64.498,15.965,0.33152,BBB+,"Consumer, Non-cyclical",Investment
KIM      UN  Equity ,203.765,31.816,1.28669,BBB+,Financial,Investment
KSS      UN  Equity ,146.676,28.009,0.71738,BBB+,"Consumer, Cyclical",Investment
LEG      UN  Equity ,121.639,29.936,1.33220,BBB+,Industrial,Investment
LH       UN  Equity ,124.036,25.201,0.62568,BBB+,"Consumer, Non-cyclical",Investment
MAT      UW  Equity ,111.122,23.093,0.78307,BBB+,"Consumer, Cyclical",Investment
MHS      UN  Equity ,73.447,36.553,0.97976,BBB+,"Consumer, Non-cyclical",Investment
NE       UN  Equity ,125.434,38.050,1.19367,BBB+,Energy,Investment
NEM      UN  Equity ,115.905,31.528,0.76568,BBB+,Basic Materials,Investment
NOC      UN  Equity ,78.197,24.267,1.05807,BBB+,Industrial,Investment
NSC      UN  Equity ,53.067,26.919,1.26238,BBB+,Industrial,Investment
OMC      UN  Equity ,77.586,28.571,1.28881,BBB+,Communications,Investment
POM      UN  Equity ,128.113,17.739,0.60255,BBB+,Utilities,Investment
PPG      UN  Equity ,88.603,33.184,1.23833,BBB+,Basic Materials,Investment
R        UN  Equity ,158.604,33.643,1.65598,BBB+,Industrial,Investment
SRE      UN  Equity ,78.173,15.439,0.66001,BBB+,Utilities,Investment
TE       UN  Equity ,100.784,21.158,0.86550,BBB+,Utilities,Investment
UNP      UN  Equity ,53.385,28.860,1.21046,BBB+,Industrial,Investment
XL       UN  Equity ,171.138,31.951,1.16544,BBB+,Financial,Investment
NWSA     UW  Equity ,111.061,33.982,1.36370,BBB+   *-,Communications,Investment
GR       UN  Equity ,24.013,10.511,0.55170,BBB+   *+,Industrial,Investment
PGN      UN  Equity ,41.999,24.080,0.35469,BBB+   *+,Utilities,Investment
