Date,VIX,SPX
5/9/11,17.16,1346.29
5/10/11,15.91,1357.16
5/11/11,16.95,1342.08
5/12/11,16.03,1348.65
5/13/11,17.07,1337.77
5/16/11,18.24,1329.47
5/17/11,17.55,1328.98
5/18/11,16.23,1340.68
5/19/11,15.52,1343.6
5/20/11,17.43,1333.27
5/23/11,18.27,1317.37
5/24/11,17.82,1316.28
5/25/11,17.07,1320.47
5/26/11,16.09,1325.69
5/27/11,15.98,1331.1
5/31/11,15.45,1345.2
6/1/11,18.3,1314.55
6/2/11,18.09,1312.94
6/3/11,17.95,1300.16
6/6/11,18.49,1286.17
6/7/11,18.07,1284.94
6/8/11,18.79,1279.56
6/9/11,17.77,1289
6/10/11,18.86,1270.98
6/13/11,19.61,1271.83
6/14/11,18.26,1287.87
6/15/11,21.32,1265.42
6/16/11,22.73,1267.64
6/17/11,21.85,1271.5
6/20/11,19.99,1278.36
6/21/11,18.86,1295.52
6/22/11,18.52,1287.14
6/23/11,19.29,1283.5
6/24/11,21.1,1268.45
6/27/11,20.56,1280.1
6/28/11,19.17,1296.67
6/29/11,17.27,1307.41
6/30/11,16.52,1320.64
7/1/11,15.87,1339.67
7/5/11,16.06,1337.88
7/6/11,16.34,1339.22
7/7/11,15.95,1353.22
7/8/11,15.95,1343.8
7/11/11,18.39,1319.49
7/12/11,19.87,1313.64
7/13/11,19.91,1317.72
7/14/11,20.8,1308.87
7/15/11,19.53,1316.14
7/18/11,20.95,1305.44
7/19/11,19.21,1326.73
7/20/11,19.09,1325.84
7/21/11,17.56,1343.8
7/22/11,17.52,1345.02
7/25/11,19.35,1337.43
7/26/11,20.23,1331.94
7/27/11,22.98,1304.89
7/28/11,23.74,1300.67
7/29/11,25.25,1292.28
8/1/11,23.66,1286.94
8/2/11,24.79,1254.05
8/3/11,23.38,1260.34
8/4/11,31.66,1200.07
8/5/11,32,1199.38
8/8/11,48,1119.46
8/9/11,35.06,1172.53
8/10/11,42.99,1120.76
8/11/11,39,1172.64
8/12/11,36.36,1178.81
8/15/11,31.87,1204.49
8/16/11,32.85,1192.76
8/17/11,31.58,1193.89
8/18/11,42.67,1140.65
8/19/11,43.05,1123.53
8/22/11,42.44,1123.82
8/23/11,36.27,1162.35
8/24/11,35.9,1177.6
8/25/11,39.76,1159.27
8/26/11,35.59,1176.8
8/29/11,32.28,1210.08
8/30/11,32.89,1212.92
8/31/11,31.62,1218.89
9/1/11,31.82,1204.42
9/2/11,33.92,1173.97
9/6/11,37,1165.24
9/7/11,33.38,1198.62
9/8/11,34.32,1185.9
9/9/11,38.52,1154.23
9/12/11,38.59,1162.27
9/13/11,36.91,1172.87
9/14/11,34.6,1188.68
9/15/11,31.97,1209.11
9/16/11,30.98,1216.01
9/19/11,32.73,1204.09
9/20/11,32.86,1202.09
9/21/11,37.32,1166.76
9/22/11,41.35,1129.56
9/23/11,41.25,1136.43
9/26/11,39.02,1162.95
9/27/11,37.71,1175.38
9/28/11,41.08,1151.06
9/29/11,38.84,1160.4
9/30/11,42.96,1131.42
10/3/11,45.45,1099.23
10/4/11,40.82,1123.95
10/5/11,37.81,1144.03
10/6/11,36.27,1164.97
10/7/11,36.2,1155.46
10/10/11,33.02,1194.89
10/11/11,32.86,1195.54
10/12/11,31.26,1207.25
10/13/11,30.7,1203.66
10/14/11,28.24,1224.58
10/17/11,33.39,1200.86
10/18/11,31.56,1225.38
10/19/11,34.44,1209.88
10/20/11,34.78,1215.39
10/21/11,31.32,1238.25
10/24/11,29.26,1254.19
10/25/11,32.22,1229.05
10/26/11,29.86,1242
10/27/11,25.46,1284.59
10/28/11,24.53,1285.09
10/31/11,29.96,1253.3
11/1/11,34.77,1218.28
11/2/11,32.74,1237.9
11/3/11,30.5,1261.15
11/4/11,30.16,1253.23
11/7/11,29.85,1261.12
11/8/11,27.48,1275.92
11/9/11,36.16,1229.1
11/10/11,32.81,1239.69
11/11/11,30.04,1263.85
11/14/11,31.13,1251.78
11/15/11,31.22,1257.81
11/16/11,33.51,1236.91
11/17/11,34.51,1216.13
11/18/11,32,1215.65
11/21/11,32.91,1192.98
11/22/11,31.97,1188.04
11/23/11,33.98,1161.79
11/25/11,34.47,1158.67
11/28/11,32.13,1192.55
11/29/11,30.64,1195.19
11/30/11,27.8,1246.96
12/1/11,27.41,1244.58
12/2/11,27.52,1244.28
12/5/11,27.84,1257.08
12/6/11,28.13,1258.47
12/7/11,28.67,1261.01
12/8/11,30.59,1234.35
12/9/11,26.38,1255.19
12/12/11,25.67,1236.47
12/13/11,25.41,1225.73
12/14/11,26.04,1211.82
12/15/11,25.11,1215.75
12/16/11,24.29,1219.66
12/19/11,24.92,1205.35
12/20/11,23.22,1241.3
12/21/11,21.43,1243.72
12/22/11,21.16,1254
12/23/11,20.73,1265.33
12/27/11,21.91,1265.43
12/28/11,23.52,1249.64
12/29/11,22.65,1263.02
12/30/11,23.4,1257.6
