datxx,lhur,punew,fyff,fygm3,fygt1,exruk,gdpjp,time
1972:04,5.366666794,42.36666489,5.329999924,5.070000172,5.519999981,234.4799957,97757,51
1973:01,4.933333397,43.03333282,7.090000153,6.090000153,6.849999905,247.2400055,104568,52
1973:02,4.933333397,43.93333435,8.489999771,7.190000057,7.309999943,257.6199951,109319,53
1973:03,4.800000191,44.79999924,10.77999973,8.289999962,8.31000042,241.8300018,113518,54
1973:04,4.766666889,45.93333435,9.949999809,7.449999809,7.269999981,231.7400055,120420,55
1974:01,5.133333206,47.29999924,9.350000381,7.960000038,7.760000229,234.0599976,123283,56
1974:02,5.199999809,48.56666565,11.93000031,7.900000095,8.670000076,239.0200043,131736,57
1974:03,5.633333206,49.93333435,11.34000015,8.06000042,8.869999886,231.6499939,137890,58
1974:04,6.599999905,51.46666718,8.529999733,7.150000095,7.309999943,232.9400024,141613,59
1975:01,8.266666412,52.56666565,5.539999962,5.489999771,6.110000134,241.8000031,141887,60
1975:02,8.866666794,53.20000076,5.550000191,5.340000153,6.289999962,228.0299988,146444,61
1975:03,8.466666222,54.26666641,6.239999771,6.420000076,7.75,208.3500061,149751,62
1975:04,8.300000191,55.26666641,5.199999809,5.440000057,6.599999905,202.2100067,154088,63
1976:01,7.733333111,55.90000153,4.840000153,5,6.210000038,194.2799988,159302,64
1976:02,7.566666603,56.40000153,5.480000019,5.409999847,6.519999981,176.3999939,164546,65
1976:03,7.733333111,57.29999924,5.25,5.079999924,5.840000153,172.7200012,169524,66
1976:04,7.766666889,58.13333511,4.650000095,4.349999905,4.889999866,167.8399963,172022,67
1977:01,7.5,59.20000076,4.690000057,4.599999905,5.5,171.740799,179402,68
1977:02,7.133333206,60.23333359,5.389999866,5.019999981,5.800000191,171.9140015,183207,69
1977:03,6.900000095,61.06666565,6.139999866,5.809999943,6.53000021,174.3139038,187162,70
1977:04,6.666666508,61.96666718,6.559999943,6.070000172,6.960000038,185.4575043,191997,71
1978:01,6.333333492,63.03333282,6.789999962,6.289999962,7.309999943,190.5467072,197835,72
1978:02,6,64.46666718,7.599999905,6.730000019,8.090000153,183.7243958,201639,73
1978:03,6.033333302,65.96666718,8.449999809,7.849999905,8.640000343,195.9499969,206879,74
1978:04,5.900000095,67.5,10.02999973,9.079999924,10.30000019,198.6109009,210785,75
1979:01,5.866666794,69.19999695,10.09000015,9.479999542,10.25,203.7799988,215043,76
1979:02,5.699999809,71.40000153,10.28999996,9.06000042,9.569999695,211.1900024,219875,77
1979:03,5.866666794,73.69999695,11.43000031,10.26000023,10.84000015,219.6600037,223217,78
1979:04,5.966666698,76.03333282,13.77999973,12.03999996,11.97999954,220.0700073,226526,79
1980:01,6.300000191,79.03333282,17.19000053,15.19999981,15.81999969,220.4510956,231999.7969,80
1980:02,7.333333492,81.69999695,9.470000267,7.070000172,8.159999847,233.5942993,236053,81
1980:03,7.666666508,83.23332977,10.86999989,10.27000046,11.52000046,240.1233063,243962.9063,82
1980:04,7.400000095,85.56666565,18.89999962,15.48999977,14.88000011,234.5937042,249946,83
1981:01,7.433333397,87.93333435,14.69999981,13.35999966,13.71000004,223.1900024,254559.9063,84
1981:02,7.400000095,89.76667023,19.10000038,14.72999954,14.85999966,197.3800049,255595.5938,85
1981:03,7.400000095,92.26667023,15.86999989,14.69999981,16.52000046,181.4600067,261035.2031,86
1981:04,8.233333588,93.76667023,12.36999989,10.85000038,12.85000038,190.332901,264012.1875,87
1982:01,8.833333015,94.59999847,14.68000031,12.68000031,13.94999981,180.5,267124.9063,88
1982:02,9.433333397,95.96666718,14.14999962,12.47000027,14.06999969,175.6300049,271720.5938,89
1982:03,9.899999619,97.6333313,10.31000042,7.920000076,10.85000038,171.1999969,273228.8125,90
1982:04,10.66666698,97.93333435,8.949999809,7.940000057,8.909999847,161.6000061,275198.5938,91
1983:01,10.36666679,98,8.770000458,8.350000381,9.039999962,149,278451.1875,92
1983:02,10.13333321,99.1333313,8.979999542,8.789999962,9.659999847,154.8000031,281202.3125,93
1983:03,9.366666794,100.0999985,9.449999809,9,10.15999985,149.8600006,285152.1875,94
1983:04,8.533333778,101.0999985,9.470000267,9,10.10999966,143.3800049,286365.6875,95
1984:01,7.866666794,102.5333328,9.909999847,9.520000458,10.59000015,145.5700073,292292.9063,96
1984:02,7.433333397,103.5,11.06000042,9.869999886,12.07999992,137.6999969,298527.8125,97
1984:03,7.433333397,104.4000015,11.30000019,10.36999989,11.57999992,125.6299973,303875.6875,98
1984:04,7.300000191,105.3000031,8.380000114,8.06000042,9.329999924,118.6100006,308001.5938,99
1985:01,7.233333111,106.2666702,8.579999924,8.520000458,9.859999657,112.5299988,316702.1875,100
1985:02,7.300000191,107.2333298,7.53000021,6.949999809,7.800000191,128.0800018,320064.1875,101
1985:03,7.199999809,107.9000015,7.920000076,7.099999905,8.069999695,136.4199982,324477.1875,102
1985:04,7.033333302,109,8.270000458,7.099999905,7.670000076,144.4700012,332086.5,103
1986:01,7.033333302,109.5666656,7.480000019,6.559999943,7.03000021,146.7400055,332099,104
1986:02,7.166666508,109.0333328,6.920000076,6.210000038,6.730000019,150.8500061,337871.4063,105
1986:03,6.966666698,109.6999969,5.889999866,5.210000038,5.769999981,146.9799957,341120.6875,106
1986:04,6.833333492,110.4666672,6.909999847,5.53000021,5.869999886,143.9299927,343613.9063,107
1987:01,6.599999905,111.8000031,6.130000114,5.590000153,6.03000021,159.2299957,344760.4063,108
1987:02,6.266666889,113.0666656,6.730000019,5.670000076,6.800000191,162.8800049,346317.4063,109
1987:03,6,114.2666702,7.21999979,6.400000095,7.670000076,164.4600067,355160.3125,110
1987:04,5.833333492,115.3333359,6.769999981,5.769999981,7.170000076,182.8800049,363021.3125,111
1988:01,5.699999809,116.2333298,6.579999924,5.699999809,6.710000038,183.3000031,371485.5938,112
1988:02,5.466666698,117.5666656,7.510000229,6.460000038,7.489999771,177.6799927,373538.8125,113
1988:03,5.466666698,119,8.18999958,7.239999771,8.090000153,168.3999939,382391.5,114
1988:04,5.333333492,120.3000031,8.760000229,8.069999695,8.989999771,182.5800018,389289.1875,115
1989:01,5.199999809,121.6666641,9.850000381,8.819999695,9.569999695,171.3399963,400800,116
1989:02,5.233333111,123.6333313,9.529999733,8.149999619,8.43999958,155.3000031,400100.6875,117
1989:03,5.233333111,124.5999985,9.020000458,7.75,8.220000267,157.1499939,410036.4063,118
1989:04,5.366666794,125.8666687,8.449999809,7.630000114,7.71999979,159.6499939,422579.0938,119
1990:01,5.300000191,128.0333405,8.279999733,7.900000095,8.350000381,162.4499969,424834.1875,120
1990:02,5.333333492,129.3000031,8.289999962,7.730000019,8.100000381,171.0299988,439094.6875,121
1990:03,5.699999809,131.5333405,8.199999809,7.360000134,7.760000229,187.9400024,446521.1875,122
1990:04,6.133333206,133.7666626,7.309999943,6.739999771,7.050000191,192.1900024,450219.8125,123
1991:01,6.599999905,134.7666626,6.119999886,5.909999847,6.400000095,182.1399994,462847.1875,124
1991:02,6.833333492,135.5666656,5.900000095,5.570000172,6.360000134,164.9700012,465150.0938,125
1991:03,6.866666794,136.6000061,5.449999809,5.21999979,5.570000172,172.6499939,469224.0938,126
1991:04,7.099999905,137.7333374,4.429999828,4.070000172,4.380000114,182.7200012,475944.4063,127
1992:01,7.366666794,138.6666718,3.980000019,4.039999962,4.630000114,172.3800049,477201.0938,128
1992:02,7.599999905,139.7333374,3.75999999,3.660000086,4.170000076,185.5099945,481668.4063,129
1992:03,7.633333206,140.8000031,3.220000029,2.910000086,3.180000067,184.6499939,482419.6875,130
1992:04,7.366666794,142.0333405,2.920000076,3.220000029,3.710000038,155.1000061,480767.8125,131
1993:01,7.133333206,143.0666656,3.069999933,2.950000048,3.329999924,146.1699982,489538.8125,132
1993:02,7.066666603,144.1000061,3.039999962,3.069999933,3.539999962,150.8200073,483332.5,133
1993:03,6.800000191,144.7666626,3.089999914,2.950000048,3.359999895,152.4799957,482328.0938,134
1993:04,6.633333206,145.9666595,2.960000038,3.059999943,3.609999895,149.1300049,481369.6875,135
1994:01,6.566666603,146.6999969,3.339999914,3.5,4.320000172,149.1900024,486649,136
1994:02,6.199999809,147.5333405,4.25,4.139999866,5.269999981,152.6199951,489262,137
1994:03,6,148.8999939,4.730000019,4.619999886,5.760000229,156.6100006,492229,138
1994:04,5.633333206,149.7666626,5.449999809,5.599999905,7.139999866,155.8699951,491944,139
1995:01,5.466666698,150.8666687,5.980000019,5.730000019,6.429999828,160.0200043,492390,140
1995:02,5.666666508,152.1000061,6,5.46999979,5.639999866,159.4799957,493974,141
1995:03,5.666666508,152.8666687,5.800000191,5.28000021,5.619999886,155.8999939,499014,142
1995:04,5.566666603,153.6999969,5.599999905,5.139999866,5.309999943,154.0500031,501389,143
1996:01,5.533333302,155.0666656,5.309999943,4.960000038,5.340000153,152.7100067,503903,144
1996:02,5.5,156.3999939,5.269999981,5.090000153,5.809999943,154.1600037,509525,145
1996:03,5.266666889,157.3000031,5.300000191,5.090000153,5.829999924,155.9299927,510978,146
1996:04,5.333333492,158.6666718,5.289999962,4.909999847,5.46999979,166.3899994,517045,147
1997:01,5.233333111,159.6333313,5.389999866,5.139999866,5.800000191,160.9600067,520537,148
1997:02,5,160,5.559999943,4.929999828,5.690000057,164.4900055,520930,149
1997:03,4.866666794,160.8000031,5.539999962,4.949999809,5.519999981,160.1300049,519672,150
1997:04,4.666666508,161.6666718,5.5,5.159999847,5.53000021,165.9700012,523638,151
1998:01,4.633333206,162,5.489999771,5.03000021,5.389999866,166.1900024,517862,152
1998:02,4.400000095,162.5333405,5.559999943,4.980000019,5.409999847,165.0399933,511371,153
1998:03,4.533333302,163.3666687,5.510000229,4.610000134,4.710000038,168.2299957,513628,154
1998:04,4.433333397,164.1333313,4.679999828,4.389999866,4.519999981,167.0800018,515037,155
1999:01,4.300000191,164.7333374,4.809999943,4.440000057,4.78000021,162.1300049,508639,156
1999:02,4.266666889,165.9666595,4.760000229,4.570000172,5.099999905,159.5,509767,157
1999:03,4.233333111,167.1999969,5.21999979,4.679999828,5.25,162.4700012,506001,158
1999:04,4.066666603,168.4333344,5.300000191,5.199999809,5.840000153,161.3200073,506428,159
2000:01:00,4.033333302,170.1000061,5.849999905,5.690000057,6.21999979,157.9900055,509212,160
2000:02:00,3.933333397,171.4333344,6.53000021,5.690000057,6.170000076,150.9244995,510965,161
2000:03:00,4,173,6.519999981,6,6.130000114,143.3549957,511652,162
2000:04:00,3.900000095,174.2333374,6.400000095,5.769999981,5.599999905,146.2915039,514879,163
2001:01:00,4.233333111,175.8999939,5.309999943,4.420000076,4.300000191,144.4459076,516339,164
2001:02:00,4.400000095,177.2666626,3.970000029,3.49000001,3.579999924,140.201004,507542,165
2001:03:00,4.833333492,177.6666718,3.069999933,2.640000105,2.819999933,146.3811035,502521,166
2001:04:00,5.533333302,177.4333344,1.820000052,1.690000057,2.220000029,144.1264954,497700,167
2002:01:00,5.699999809,178.0666656,1.730000019,1.789999962,2.569999933,142.3023987,497409,168
2002:02:00,5.833333492,179.5,1.75,1.700000048,2.200000048,148.3684998,497511,169
2002:03:00,5.733333111,180.4333344,1.75,1.629999995,1.720000029,155.6300049,500751,170
2002:04:00,5.866666794,181.3666687,1.24000001,1.190000057,1.450000048,158.6300049,498534,171
2003:01:00,5.833333492,183.2333374,1.25,1.129999995,1.24000001,158.25,494468,172
2003:02:00,6.133333206,183.3999939,1.220000029,0.920000017,1.00999999,166.0876007,497335,173
2003:03:00,6.133333206,184.3999939,1.00999999,0.939999998,1.24000001,161.5500031,498889,174
2003:04:00,5.866666794,184.8000031,0.980000019,0.899999976,1.309999943,175.1600037,502022,175
2004:01:00,5.666666508,186.5666656,1,0.939999998,1.190000057,182.6100006,507510,176
2004:02:00,5.566666603,188.6000061,1.029999971,1.269999981,2.119999886,182.7908936,505843,177
2004:03:00,5.433333397,189.3666687,1.610000014,1.649999976,2.119999886,179.3699951,504948.9063,178
2004:04:00,5.433333397,191.0333405,2.160000086,2.190000057,2.670000076,192.921402,505073.6875,179
2005:01:00,5.266666889,192.1666718,2.630000114,2.74000001,3.299999952,190.4299927,508505.5,180
